epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.98466,4.77902,5.61714,4.5145,0.00025,0.025,0.00019,4e-05,4.93608,4.8172,4.16158,6.666e-05,6.666e-05,6.666e-05
2,3.65889,4.68688,5.17483,4.40346,0.00116,0.025,0.00132,0.00013,4.93605,4.8254,4.16332,0.000143715,0.000143715,0.000143715
3,5.28746,4.59994,4.82522,4.22572,0.00071,0.025,0.00048,5e-05,4.93876,4.83663,4.16714,0.00022,0.00022,0.00022
4,7.11489,4.54494,4.48864,4.13497,0,0,0,0,4.93831,4.85786,4.17203,0.000295515,0.000295515,0.000295515
5,8.72414,4.09473,4.0355,3.96521,0.00036,0.025,0.00035,7e-05,4.94557,4.90023,4.18339,0.000370261,0.000370261,0.000370261
6,10.3113,3.86764,3.77244,3.72259,0.00036,0.025,0.0004,8e-05,4.9496,4.96226,4.2008,0.000444236,0.000444236,0.000444236
7,11.92,3.55271,3.39372,3.5067,0,0,0,0,4.957,4.9294,4.23441,0.000517442,0.000517442,0.000517442
8,13.5275,3.48951,3.26844,3.25709,0.00019,0.025,0.00012,1e-05,4.9561,4.79996,4.25177,0.000589877,0.000589877,0.000589877
9,15.1212,3.26525,3.13402,3.21617,0,0,0,0,4.95641,4.97785,4.28132,0.000661543,0.000661543,0.000661543
10,16.7685,3.25279,3.05712,2.9881,0,0,0,0,4.95205,4.94639,4.28375,0.000732438,0.000732438,0.000732438
11,18.3307,3.07445,2.65101,2.82168,0.00012,0.025,0.00021,2e-05,4.94612,4.95527,4.25866,0.000802564,0.000802564,0.000802564
12,19.9532,2.95847,2.59853,2.61567,0,0,0,0,4.94458,4.77418,4.26151,0.00087192,0.00087192,0.00087192
13,21.5134,2.83791,2.46273,2.48793,0,0,0,0,4.94366,4.75149,4.27588,0.000940506,0.000940506,0.000940506
14,23.0836,2.7753,2.36683,2.49682,0,0,0,0,4.95015,4.90791,4.33294,0.00100832,0.00100832,0.00100832
15,24.7135,2.74571,2.31819,2.40243,0,0,0,0,4.93605,4.8736,4.3165,0.00103401,0.00103401,0.00103401
16,26.2971,2.63417,2.19476,2.28745,0,0,0,0,4.91282,4.77801,4.26896,0.00102851,0.00102851,0.00102851
17,27.8853,2.54092,2.16081,2.19037,0,0,0,0,4.87349,4.65094,4.20501,0.00102301,0.00102301,0.00102301
18,29.4554,2.53592,2.04624,2.12971,0,0,0,0,4.70033,4.42192,4.0694,0.00101751,0.00101751,0.00101751
19,31.0333,2.44047,2.01733,2.08337,0.00202,0.01972,0.00757,0.00178,4.21199,4.02923,3.77057,0.00101201,0.00101201,0.00101201
20,32.6415,2.42639,1.98646,1.96495,0.90586,0.02714,0.03158,0.00985,3.28385,3.15529,3.0874,0.00100651,0.00100651,0.00100651
21,34.2363,2.38941,1.97121,1.94421,0.92368,0.02714,0.04293,0.01464,2.99615,2.81873,2.81127,0.00100101,0.00100101,0.00100101
22,35.8696,2.2981,1.86406,1.92697,0.73497,0.05547,0.06188,0.02177,2.78554,2.33577,2.44445,0.000995512,0.000995512,0.000995512
23,37.4585,2.20912,1.76199,1.83251,0.73624,0.09635,0.08003,0.03513,2.40725,1.9896,2.13187,0.000990012,0.000990012,0.000990012
24,39.2118,2.29261,1.78986,1.86584,0.72861,0.11343,0.10411,0.03417,2.38256,1.85091,1.99337,0.000984513,0.000984513,0.000984513
25,40.8296,2.19588,1.73528,1.77495,0.73809,0.12569,0.1202,0.04243,2.30984,1.78387,1.94114,0.000979013,0.000979013,0.000979013
26,42.4591,2.20202,1.71097,1.78371,0.69373,0.13406,0.13475,0.05646,2.16623,1.69818,1.80781,0.000973514,0.000973514,0.000973514
27,44.0716,2.15527,1.71023,1.78237,0.66003,0.16717,0.15235,0.05977,2.19717,1.63362,1.77981,0.000968014,0.000968014,0.000968014
28,45.6606,2.14166,1.67938,1.7049,0.60762,0.1808,0.14963,0.05484,2.22566,1.60204,1.76281,0.000962515,0.000962515,0.000962515
29,47.1892,2.15286,1.68653,1.67159,0.42596,0.1977,0.1568,0.06234,2.08663,1.57033,1.69911,0.000957015,0.000957015,0.000957015
30,48.7817,2.07596,1.64021,1.67952,0.62321,0.21095,0.1858,0.08224,2.03799,1.55097,1.66501,0.000951516,0.000951516,0.000951516
31,50.367,2.03796,1.60173,1.63617,0.73379,0.1958,0.20026,0.08332,2.0825,1.50787,1.68664,0.000946016,0.000946016,0.000946016
32,51.9489,2.07707,1.59725,1.6212,0.48252,0.18058,0.17954,0.08292,1.94034,1.55606,1.67001,0.000940517,0.000940517,0.000940517
33,53.5076,2.03116,1.59654,1.62998,0.48632,0.18422,0.17913,0.08289,1.94309,1.56811,1.66649,0.000935018,0.000935018,0.000935018
34,55.0469,2.02692,1.60869,1.60687,0.73792,0.20255,0.20847,0.09636,1.98354,1.48958,1.62351,0.000929518,0.000929518,0.000929518
35,56.5858,2.039,1.59534,1.58448,0.71047,0.21399,0.21737,0.09035,1.95765,1.44751,1.62107,0.000924019,0.000924019,0.000924019
36,58.1476,2.01115,1.5741,1.58743,0.72947,0.22604,0.21622,0.09383,1.96619,1.46127,1.60819,0.000918519,0.000918519,0.000918519
37,59.702,1.94535,1.48979,1.5337,0.72177,0.22275,0.21564,0.10037,1.94009,1.43164,1.58997,0.00091302,0.00091302,0.00091302
38,61.3063,1.92015,1.52472,1.55672,0.74848,0.22265,0.23326,0.11663,1.80903,1.34704,1.50346,0.00090752,0.00090752,0.00090752
39,62.8497,1.90974,1.52498,1.56174,0.7515,0.22257,0.23715,0.11303,1.88824,1.38073,1.51353,0.000902021,0.000902021,0.000902021
40,64.404,1.8753,1.49506,1.45899,0.67146,0.23758,0.26534,0.11569,1.81821,1.38558,1.51632,0.000896521,0.000896521,0.000896521
